timestamp,section_id,section_length_km,signal_state,train_id,train_type,priority,position_km,speed_kmph,status,delay_min,disruption,next_station,next_station_arrival
2025-09-01 01:31:00,SEC_05,114,GREEN,T10278,Express,High,78.365,84.88,Running,0,None,Section_5_ST2,2025-09-01 02:22:00
2025-09-01 13:17:00,SEC_09,24,GREEN,T10538,Express,High,24.0,91.35,Running,0,None,Section_9_ST3,2025-09-01 13:31:00
2025-09-01 13:05:00,SEC_02,23,RED,T10068,Passenger,Medium,12.389,0.0,Waiting for Signal,9,Caution Order,Section_2_ST2,2025-09-01 13:24:00
2025-09-01 08:57:00,SEC_09,24,GREEN,T10507,Passenger,Medium,9.658,63.35,Running,0,None,Section_9_ST2,2025-09-01 09:29:00
2025-09-01 15:27:00,SEC_06,106,GREEN,T10324,Freight,Low,21.637,43.92,Running,0,None,Section_6_ST3,2025-09-01 16:16:00
2025-09-01 17:28:00,SEC_04,48,GREEN,T10227,Passenger,Medium,39.786,60.74,Running,0,None,Section_4_ST3,2025-09-01 17:49:00
2025-09-01 04:50:00,SEC_09,24,GREEN,T10496,Express,High,5.244,68.54,Running,0,None,Section_9_ST3,2025-09-01 05:20:00
2025-09-01 09:34:00,SEC_07,89,GREEN,T10390,Passenger,Medium,16.678,67.35,Running,0,None,Section_7_ST2,2025-09-01 10:31:00
2025-09-01 17:37:00,SEC_05,114,GREEN,T10248,Freight,Low,55.124,43.92,Running,0,None,Section_5_ST2,2025-09-01 18:49:00
2025-09-01 16:02:00,SEC_03,55,RED,T10138,Superfast,Very High,17.206,0.0,Waiting for Signal,15,None,Section_3_ST4,2025-09-01 16:38:00
2025-09-01 13:54:00,SEC_03,55,GREEN,T10121,Freight,Low,8.443,33.42,Running,0,None,Section_3_ST1,2025-09-01 14:05:00
2025-09-01 15:18:00,SEC_06,106,GREEN,T10324,Freight,Low,14.981,47.52,Running,0,None,Section_6_ST3,2025-09-01 16:16:00
2025-09-01 09:53:00,SEC_03,55,GREEN,T10140,Freight,Low,23.118,42.99,Running,0,None,Section_3_ST2,2025-09-01 10:25:00
2025-09-01 17:39:00,SEC_05,114,RED,T10299,Passenger,Medium,67.201,0.0,Waiting for Signal,9,Caution Order,Section_5_ST3,2025-09-01 17:55:00
2025-09-01 11:32:00,SEC_07,89,GREEN,T10406,Freight,Low,18.349,39.44,Running,0,None,Section_7_ST3,2025-09-01 12:12:00
2025-09-01 16:21:00,SEC_03,55,YELLOW,T10148,Express,High,3.694,79.62,Running,0,None,Section_3_ST1,2025-09-01 16:34:00
2025-09-01 19:13:00,SEC_01,101,GREEN,T10011,Freight,Low,10.966,39.97,Running,0,None,Section_1_ST2,2025-09-01 19:28:00
2025-09-01 15:17:00,SEC_05,114,GREEN,T10262,Superfast,Very High,26.005,94.23,Running,0,None,Section_5_ST2,2025-09-01 15:52:00
2025-09-01 20:40:00,SEC_05,114,GREEN,T10247,Passenger,Medium,13.344,76.48,Running,0,None,Section_5_ST3,2025-09-01 20:57:00
2025-09-01 11:09:00,SEC_04,48,GREEN,T10194,Passenger,Medium,12.121,71.91,Running,0,None,Section_4_ST2,2025-09-01 11:51:00
2025-09-01 05:21:00,SEC_01,101,GREEN,T10055,Freight,Low,12.757,42.84,Running,0,None,Section_1_ST1,2025-09-01 05:35:00
2025-09-01 17:14:00,SEC_08,95,GREEN,T10464,Passenger,Medium,39.981,56.02,Running,0,None,Section_8_ST2,2025-09-01 18:27:00
2025-09-01 17:37:00,SEC_10,31,GREEN,T10590,Express,High,31.0,81.69,Running,0,None,Section_10_ST4,2025-09-01 17:55:00
2025-09-01 14:20:00,SEC_09,24,GREEN,T10521,Passenger,Medium,12.394,55.73,Running,0,None,Section_9_ST2,2025-09-01 14:31:00
2025-09-01 07:53:00,SEC_08,95,RED,T10465,Express,High,23.602,0.0,Waiting for Signal,8,Rolling Stock Fault,Section_8_ST2,2025-09-01 08:33:00
2025-09-01 17:33:00,SEC_02,23,YELLOW,T10097,Express,High,23.0,89.86,Running,0,None,Section_2_ST2,2025-09-01 17:32:00
2025-09-01 08:55:00,SEC_05,114,RED,T10257,Freight,Low,12.853,0.0,Waiting for Signal,4,None,Section_5_ST2,2025-09-01 10:25:00
2025-09-01 15:33:00,SEC_01,101,GREEN,T10037,Passenger,Medium,21.566,78.07,Running,0,None,Section_1_ST2,2025-09-01 15:54:00
2025-09-01 22:30:00,SEC_08,95,GREEN,T10444,Express,High,68.779,61.22,Running,0,None,Section_8_ST2,2025-09-01 22:51:00
2025-09-01 11:23:00,SEC_04,48,GREEN,T10183,Passenger,Medium,14.876,76.58,Running,0,None,Section_4_ST2,2025-09-01 11:48:00
2025-09-01 06:38:00,SEC_09,24,GREEN,T10498,Express,High,6.007,84.92,Running,0,None,Section_9_ST2,2025-09-01 07:04:00
2025-09-01 13:04:00,SEC_05,114,YELLOW,T10289,Freight,Low,41.765,46.19,Running,0,None,Section_5_ST3,2025-09-01 13:27:00
2025-09-01 15:48:00,SEC_07,89,GREEN,T10408,Express,High,2.94,0.0,Halted - ACP,16,ACP,Section_7_ST2,2025-09-01 16:18:00
2025-09-01 06:06:00,SEC_01,101,GREEN,T10049,Passenger,Medium,29.536,69.74,Running,0,None,Section_1_ST2,2025-09-01 06:30:00
2025-09-01 15:07:00,SEC_10,31,GREEN,T10581,Superfast,Very High,5.198,93.0,Running,0,None,Section_10_ST2,2025-09-01 15:39:00
2025-09-01 18:40:00,SEC_09,24,GREEN,T10491,Superfast,Very High,20.129,120.23,Running,0,None,Section_9_ST2,2025-09-01 19:04:00
2025-09-01 07:37:00,SEC_05,114,YELLOW,T10261,Express,High,14.666,76.19,Running,0,None,Section_5_ST1,2025-09-01 07:53:00
2025-09-01 09:58:00,SEC_04,48,GREEN,T10225,Express,High,15.883,43.01,Weather Slowdown,23,Weather Slowdown,Section_4_ST2,2025-09-01 10:30:00
2025-09-01 18:13:00,SEC_02,23,GREEN,T10118,Passenger,Medium,23.0,68.26,Running,0,None,Section_2_ST3,2025-09-01 18:35:00
2025-09-01 03:28:00,SEC_04,48,RED,T10198,Passenger,Medium,25.306,0.0,Waiting for Signal,4,None,Section_4_ST2,2025-09-01 04:01:00
2025-09-01 03:34:00,SEC_06,106,GREEN,T10352,Passenger,Medium,52.771,60.73,Running,0,None,Section_6_ST2,2025-09-01 04:21:00
2025-09-01 13:22:00,SEC_04,48,GREEN,T10224,Passenger,Medium,24.656,55.95,Running,0,None,Section_4_ST3,2025-09-01 13:43:00
2025-09-01 21:21:00,SEC_03,55,YELLOW,T10167,Express,High,37.183,49.9,Weather Slowdown,16,Weather Slowdown,Section_3_ST3,2025-09-01 21:36:00
2025-09-01 01:13:00,SEC_05,114,GREEN,T10287,Passenger,Medium,86.507,73.46,Running,0,None,Section_5_ST2,2025-09-01 01:48:00
2025-09-01 05:07:00,SEC_03,55,GREEN,T10151,Express,High,44.629,91.93,Running,0,None,Section_3_ST5,2025-09-01 05:31:00
2025-09-01 06:21:00,SEC_06,106,RED,T10326,Freight,Low,45.389,0.0,Waiting for Signal,12,None,Section_6_ST2,2025-09-01 07:26:00
2025-09-01 21:35:00,SEC_03,55,YELLOW,T10167,Express,High,55.0,80.85,Running,0,None,Section_3_ST5,2025-09-01 21:46:00
2025-09-01 10:16:00,SEC_05,114,YELLOW,T10251,Passenger,Medium,22.376,70.55,Running,0,None,Section_5_ST2,2025-09-01 11:48:00
2025-09-01 04:36:00,SEC_09,24,GREEN,T10539,Express,High,16.19,90.17,Running,0,None,Section_9_ST3,2025-09-01 05:00:00
2025-09-01 07:18:00,SEC_08,95,RED,T10457,Freight,Low,54.967,0.0,Waiting for Signal,20,None,Section_8_ST2,2025-09-01 07:46:00
2025-09-01 07:45:00,SEC_05,114,GREEN,T10272,Passenger,Medium,88.497,75.82,Running,0,None,Section_5_ST1,2025-09-01 07:58:00
2025-09-01 12:03:00,SEC_09,24,GREEN,T10493,Passenger,Medium,24.0,67.27,Running,0,None,Section_9_ST2,2025-09-01 12:16:00
2025-09-01 06:24:00,SEC_01,101,GREEN,T10035,Freight,Low,10.937,46.73,Running,0,None,Section_1_ST2,2025-09-01 08:21:00
2025-09-01 05:58:00,SEC_01,101,YELLOW,T10025,Superfast,Very High,46.651,89.7,Running,0,None,Section_1_ST2,2025-09-01 06:10:00
2025-09-01 16:52:00,SEC_03,55,RED,T10143,Passenger,Medium,44.172,0.0,Waiting for Signal,1,None,Section_3_ST2,2025-09-01 17:21:00
2025-09-01 06:31:00,SEC_08,95,RED,T10437,Passenger,Medium,31.231,0.0,Waiting for Signal,7,Weather Slowdown,Section_8_ST2,2025-09-01 07:13:00
2025-09-01 15:46:00,SEC_06,106,RED,T10337,Freight,Low,30.771,0.0,Waiting for Signal,8,None,Section_6_ST4,2025-09-01 17:14:00
2025-09-01 22:14:00,SEC_03,55,GREEN,T10161,Express,High,34.884,101.36,Running,0,None,Section_3_ST3,2025-09-01 22:41:00
2025-09-01 02:16:00,SEC_05,114,GREEN,T10256,Freight,Low,20.579,44.13,Running,0,None,Section_5_ST2,2025-09-01 02:31:00
2025-09-01 15:59:00,SEC_05,114,YELLOW,T10267,Freight,Low,16.442,61.89,Running,0,None,Section_5_ST1,2025-09-01 16:24:00
2025-09-01 18:53:00,SEC_03,55,YELLOW,T10133,Passenger,Medium,34.104,58.78,Running,0,None,Section_3_ST2,2025-09-01 19:11:00
2025-09-01 16:37:00,SEC_04,48,GREEN,T10206,Passenger,Medium,26.396,65.58,Running,0,None,Section_4_ST3,2025-09-01 17:12:00
2025-09-01 10:09:00,SEC_07,89,GREEN,T10363,Freight,Low,6.856,52.51,Running,0,None,Section_7_ST1,2025-09-01 10:18:00
2025-09-01 11:08:00,SEC_10,31,GREEN,T10595,Passenger,Medium,18.974,72.55,Running,0,None,Section_10_ST2,2025-09-01 11:38:00
2025-09-01 08:17:00,SEC_10,31,YELLOW,T10554,Freight,Low,23.737,44.76,Running,0,None,Section_10_ST4,2025-09-01 08:58:00
2025-09-01 04:57:00,SEC_07,89,GREEN,T10397,Freight,Low,30.016,41.82,Running,0,None,Section_7_ST2,2025-09-01 05:32:00
2025-09-01 17:25:00,SEC_10,31,GREEN,T10590,Express,High,19.325,75.99,Running,0,None,Section_10_ST4,2025-09-01 17:55:00
2025-09-01 16:44:00,SEC_04,48,GREEN,T10229,Passenger,Medium,30.913,81.48,Running,0,None,Section_4_ST3,2025-09-01 17:07:00
2025-09-01 16:15:00,SEC_04,48,GREEN,T10214,Superfast,Very High,31.743,104.38,Running,0,None,Section_4_ST5,2025-09-01 16:53:00
2025-09-01 09:44:00,SEC_05,114,GREEN,T10265,Express,High,67.734,75.22,Running,0,None,Section_5_ST3,2025-09-01 10:05:00
2025-09-01 08:35:00,SEC_03,55,GREEN,T10147,Freight,Low,29.527,43.91,Running,0,None,Section_3_ST2,2025-09-01 08:52:00
2025-09-01 02:01:00,SEC_09,24,GREEN,T10511,Passenger,Medium,13.319,70.94,Running,0,None,Section_9_ST2,2025-09-01 02:17:00
2025-09-01 18:13:00,SEC_04,48,GREEN,T10200,Freight,Low,39.505,43.51,Running,0,None,Section_4_ST3,2025-09-01 18:35:00
2025-09-01 19:48:00,SEC_10,31,GREEN,T10567,Passenger,Medium,31.0,72.59,Running,0,None,Section_10_ST2,2025-09-01 19:51:00
2025-09-01 08:06:00,SEC_08,95,GREEN,T10465,Express,High,42.1,88.09,Running,0,None,Section_8_ST2,2025-09-01 08:33:00
2025-09-01 04:57:00,SEC_02,23,GREEN,T10094,Passenger,Medium,20.254,61.61,Running,0,None,Section_2_ST3,2025-09-01 05:08:00
2025-09-01 03:55:00,SEC_09,24,GREEN,T10517,Superfast,Very High,24.0,118.18,Running,0,None,Section_9_ST3,2025-09-01 04:23:00
2025-09-01 15:32:00,SEC_01,101,YELLOW,T10037,Passenger,Medium,20.265,55.86,Running,0,None,Section_1_ST2,2025-09-01 15:54:00
2025-09-01 17:46:00,SEC_05,114,RED,T10290,Passenger,Medium,111.266,0.0,Waiting for Signal,20,None,Section_5_ST2,2025-09-01 17:48:00
2025-09-01 07:53:00,SEC_10,31,GREEN,T10551,Freight,Low,7.636,43.5,Running,0,None,Section_10_ST2,2025-09-01 08:32:00
2025-09-01 16:47:00,SEC_06,106,GREEN,T10325,Freight,Low,10.076,47.17,Running,0,None,Section_6_ST1,2025-09-01 16:56:00
2025-09-01 08:52:00,SEC_08,95,YELLOW,T10456,Freight,Low,7.656,9.47,Fault - Slow/Stopped,101,Rolling Stock Fault,Section_8_ST1,2025-09-01 09:13:00
2025-09-01 08:28:00,SEC_07,89,GREEN,T10399,Freight,Low,4.47,47.36,Running,0,None,Section_7_ST1,2025-09-01 08:38:00
2025-09-01 14:59:00,SEC_05,114,GREEN,T10276,Express,High,80.35,80.54,Running,0,None,Section_5_ST1,2025-09-01 15:13:00
2025-09-01 16:26:00,SEC_09,24,GREEN,T10509,Passenger,Medium,24.0,63.97,Running,0,None,Section_9_ST3,2025-09-01 16:33:00
2025-09-01 07:54:00,SEC_05,114,GREEN,T10272,Passenger,Medium,97.897,40.25,Weather Slowdown,9,Weather Slowdown,Section_5_ST2,2025-09-01 08:13:00
2025-09-01 10:38:00,SEC_10,31,YELLOW,T10543,Express,High,14.4,48.55,Proceed with Caution,8,Caution Order,Section_10_ST2,2025-09-01 10:52:00
2025-09-01 08:23:00,SEC_08,95,GREEN,T10470,Passenger,Medium,43.852,68.53,Running,0,None,Section_8_ST4,2025-09-01 08:49:00
2025-09-01 19:38:00,SEC_03,55,GREEN,T10162,Express,High,25.749,83.58,Running,0,None,Section_3_ST3,2025-09-01 20:00:00
2025-09-01 09:50:00,SEC_10,31,GREEN,T10558,Passenger,Medium,25.005,59.92,Running,0,None,Section_10_ST2,2025-09-01 10:02:00
2025-08-31 23:56:00,SEC_10,31,GREEN,T10600,Freight,Low,3.871,49.24,Running,0,None,Section_10_ST1,2025-09-01 00:16:00
2025-09-01 05:04:00,SEC_07,89,RED,T10397,Freight,Low,35.339,0.0,Waiting for Signal,3,None,Section_7_ST2,2025-09-01 05:32:00
2025-09-01 06:40:00,SEC_09,24,GREEN,T10489,Express,High,13.979,88.06,Running,0,None,Section_9_ST3,2025-09-01 07:07:00
2025-09-01 18:41:00,SEC_09,24,GREEN,T10491,Superfast,Very High,22.042,114.79,Running,0,None,Section_9_ST2,2025-09-01 19:04:00
2025-09-01 00:35:00,SEC_01,101,GREEN,T10022,Passenger,Medium,18.801,12.96,Fault - Slow/Stopped,90,Rolling Stock Fault,Section_1_ST2,2025-09-01 02:04:00
2025-09-01 14:56:00,SEC_03,55,GREEN,T10123,Passenger,Medium,44.33,49.25,Running,0,None,Section_3_ST2,2025-09-01 14:56:00
2025-09-01 07:56:00,SEC_09,24,GREEN,T10537,Express,High,24.0,76.69,Running,0,None,Section_9_ST2,2025-09-01 08:13:00
2025-09-01 00:34:00,SEC_08,95,GREEN,T10427,Passenger,Medium,37.353,92.43,Running,0,None,Section_8_ST2,2025-09-01 01:10:00
2025-09-01 15:35:00,SEC_08,95,GREEN,T10447,Freight,Low,41.449,52.32,Running,0,None,Section_8_ST2,2025-09-01 16:34:00
2025-09-01 13:50:00,SEC_09,24,GREEN,T10483,Freight,Low,24.0,43.69,Running,0,None,Section_9_ST2,2025-09-01 13:49:00
2025-09-01 21:55:00,SEC_06,106,GREEN,T10335,Freight,Low,42.534,43.88,Running,0,None,Section_6_ST2,2025-09-01 22:22:00
2025-09-01 17:13:00,SEC_01,101,GREEN,T10007,Passenger,Medium,87.877,69.11,Running,0,None,Section_1_ST2,2025-09-01 17:20:00
2025-09-01 00:23:00,SEC_10,31,GREEN,T10585,Freight,Low,15.052,53.55,Running,0,None,Section_10_ST3,2025-09-01 00:56:00
2025-09-01 22:05:00,SEC_10,31,GREEN,T10559,Express,High,4.042,74.91,Running,0,None,Section_10_ST3,2025-09-01 22:43:00
2025-09-01 17:51:00,SEC_02,23,GREEN,T10084,Freight,Low,22.07,41.82,Running,0,None,Section_2_ST5,2025-09-01 18:11:00
2025-09-01 00:33:00,SEC_02,23,GREEN,T10119,Passenger,Medium,8.997,42.51,Weather Slowdown,11,Weather Slowdown,Section_2_ST4,2025-09-01 00:56:00
2025-09-01 16:40:00,SEC_02,23,GREEN,T10075,Freight,Low,11.666,44.08,Running,0,None,Section_2_ST4,2025-09-01 17:06:00
2025-09-01 23:57:00,SEC_07,89,GREEN,T10395,Freight,Low,66.52,48.25,Running,0,None,Section_7_ST3,2025-09-02 00:25:00
2025-09-01 19:42:00,SEC_07,89,GREEN,T10378,Superfast,Very High,75.7,91.18,Running,0,None,Section_7_ST4,2025-09-01 20:05:00
2025-09-01 08:45:00,SEC_04,48,GREEN,T10236,Freight,Low,24.577,8.24,Fault - Slow/Stopped,13,Rolling Stock Fault,Section_4_ST2,2025-09-01 09:04:00
2025-09-01 16:21:00,SEC_04,48,GREEN,T10206,Passenger,Medium,8.575,70.47,Running,0,None,Section_4_ST2,2025-09-01 16:57:00
2025-09-01 22:02:00,SEC_03,55,YELLOW,T10161,Express,High,18.076,64.14,Running,0,None,Section_3_ST3,2025-09-01 22:41:00
2025-09-01 00:43:00,SEC_01,101,RED,T10058,Freight,Low,6.085,0.0,Waiting for Signal,18,None,Section_1_ST1,2025-09-01 00:59:00
2025-09-01 14:21:00,SEC_09,24,RED,T10521,Passenger,Medium,13.337,0.0,Waiting for Signal,19,None,Section_9_ST2,2025-09-01 14:31:00
2025-09-01 18:39:00,SEC_02,23,GREEN,T10120,Passenger,Medium,2.35,71.72,Running,0,None,Section_2_ST1,2025-09-01 18:54:00
2025-09-01 07:15:00,SEC_04,48,GREEN,T10185,Freight,Low,42.95,42.83,Running,0,None,Section_4_ST2,2025-09-01 07:40:00
2025-09-01 06:07:00,SEC_02,23,GREEN,T10114,Express,High,23.0,79.18,Running,0,None,Section_2_ST3,2025-09-01 06:29:00
2025-09-01 15:39:00,SEC_06,106,GREEN,T10337,Freight,Low,25.528,43.25,Running,0,None,Section_6_ST4,2025-09-01 17:14:00
2025-09-01 17:58:00,SEC_04,48,RED,T10192,Passenger,Medium,20.391,0.0,Waiting for Signal,11,None,Section_4_ST2,2025-09-01 18:34:00
2025-09-01 12:00:00,SEC_01,101,YELLOW,T10043,Express,High,5.896,90.37,Running,0,None,Section_1_ST1,2025-09-01 12:14:00
2025-09-01 07:43:00,SEC_05,114,GREEN,T10261,Express,High,23.633,94.48,Running,0,None,Section_5_ST2,2025-09-01 08:01:00
2025-09-01 05:53:00,SEC_06,106,GREEN,T10328,Passenger,Medium,34.859,33.63,Proceed with Caution,13,Caution Order,Section_6_ST2,2025-09-01 06:38:00
2025-09-01 03:34:00,SEC_07,89,GREEN,T10420,Passenger,Medium,24.528,46.56,Running,0,None,Section_7_ST1,2025-09-01 03:51:00
2025-09-01 13:49:00,SEC_03,55,YELLOW,T10121,Freight,Low,4.807,41.89,Running,0,None,Section_3_ST1,2025-09-01 14:05:00
2025-09-01 20:17:00,SEC_08,95,GREEN,T10443,Freight,Low,9.524,50.76,Running,0,None,Section_8_ST1,2025-09-01 20:28:00
2025-09-01 16:56:00,SEC_05,114,GREEN,T10277,Freight,Low,2.518,50.82,Running,0,None,Section_5_ST1,2025-09-01 17:13:00
2025-09-01 04:38:00,SEC_08,95,GREEN,T10476,Passenger,Medium,32.987,63.82,Running,0,None,Section_8_ST3,2025-09-01 05:07:00
2025-09-01 15:50:00,SEC_02,23,YELLOW,T10105,Express,High,18.135,80.82,Running,0,None,Section_2_ST2,2025-09-01 16:15:00
2025-09-01 00:22:00,SEC_05,114,YELLOW,T10254,Freight,Low,30.087,48.63,Running,0,None,Section_5_ST3,2025-09-01 01:00:00
2025-09-01 07:07:00,SEC_04,48,GREEN,T10191,Freight,Low,19.198,48.99,Running,0,None,Section_4_ST4,2025-09-01 07:41:00
2025-09-01 06:06:00,SEC_07,89,GREEN,T10417,Freight,Low,3.633,44.5,Running,0,None,Section_7_ST1,2025-09-01 06:14:00
2025-09-01 22:25:00,SEC_10,31,GREEN,T10559,Express,High,31.0,98.83,Running,0,None,Section_10_ST5,2025-09-01 22:54:00
2025-09-01 19:08:00,SEC_08,95,GREEN,T10433,Superfast,Very High,73.359,81.94,Running,0,None,Section_8_ST2,2025-09-01 19:40:00
2025-09-01 06:01:00,SEC_01,101,YELLOW,T10010,Passenger,Medium,101.0,58.37,Running,0,None,Section_1_ST2,2025-09-01 06:11:00
2025-09-01 05:00:00,SEC_03,55,YELLOW,T10151,Express,High,34.879,85.36,Running,0,None,Section_3_ST3,2025-09-01 05:16:00
2025-09-01 03:55:00,SEC_08,95,GREEN,T10432,Freight,Low,0.681,40.87,Running,0,None,Section_8_ST1,2025-09-01 04:17:00
2025-09-01 01:02:00,SEC_10,31,YELLOW,T10566,Freight,Low,5.984,45.85,Running,0,None,Section_10_ST1,2025-09-01 01:13:00
2025-09-01 09:39:00,SEC_07,89,GREEN,T10388,Superfast,Very High,37.949,107.66,Running,0,None,Section_7_ST2,2025-09-01 10:09:00
2025-09-01 04:27:00,SEC_08,95,GREEN,T10476,Passenger,Medium,20.896,69.34,Running,0,None,Section_8_ST2,2025-09-01 04:47:00
2025-09-01 04:48:00,SEC_03,55,GREEN,T10151,Express,High,17.817,75.59,Running,0,None,Section_3_ST3,2025-09-01 05:16:00
2025-09-01 22:49:00,SEC_06,106,GREEN,T10319,Passenger,Medium,29.982,28.12,Proceed with Caution,3,Caution Order,Section_6_ST2,2025-09-01 23:38:00
2025-09-01 11:01:00,SEC_04,48,GREEN,T10194,Passenger,Medium,3.28,58.62,Running,0,None,Section_4_ST2,2025-09-01 11:51:00
2025-09-01 20:08:00,SEC_04,48,GREEN,T10222,Freight,Low,15.705,48.33,Running,0,None,Section_4_ST2,2025-09-01 21:07:00
2025-09-01 13:02:00,SEC_02,23,GREEN,T10095,Express,High,1.725,103.49,Running,0,None,Section_2_ST1,2025-09-01 13:13:00
2025-09-01 04:12:00,SEC_05,114,YELLOW,T10264,Freight,Low,72.292,9.26,Fault - Slow/Stopped,83,Rolling Stock Fault,Section_5_ST2,2025-09-01 05:12:00
2025-09-01 03:22:00,SEC_03,55,RED,T10170,Passenger,Medium,14.773,0.0,Waiting for Signal,6,None,Section_3_ST3,2025-09-01 03:55:00
2025-09-01 18:37:00,SEC_03,55,GREEN,T10122,Passenger,Medium,30.746,48.4,Running,0,None,Section_3_ST3,2025-09-01 19:07:00
2025-09-01 01:41:00,SEC_01,101,GREEN,T10039,Passenger,Medium,5.392,52.44,Running,0,None,Section_1_ST2,2025-09-01 02:08:00
2025-09-01 04:57:00,SEC_01,101,YELLOW,T10004,Express,High,63.967,86.75,Running,0,None,Section_1_ST2,2025-09-01 05:18:00
2025-09-01 22:06:00,SEC_08,95,GREEN,T10421,Express,High,64.035,80.14,Running,0,None,Section_8_ST3,2025-09-01 22:32:00
